,date,title,paragraph,length
21,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,首先，我向大家长期以来对金融业改革发展，以及对人民银行、外汇局各项工作的关注和报道表示感谢！以习近平同志为核心的党中央高度重视金融工作。习近平总书记在2023年召开的中央金融工作会议上发表重要讲话，强调坚持走中国特色金融发展之路、推进金融高质量发展、加快建设金融强国。去年年底召开的中央经济工作会议，明确提出了2024年经济工作的总体要求、政策取向和重点任务。近日，习近平总书记又在省部级主要领导干部推动金融高质量发展专题研讨班开班式上发表重要讲话，对做好当前及今后一个时期金融工作进行再动员、再部署。中国人民银行、国家外汇局将以专业务实的精神，贯彻落实好中央决策部署，坚持金融服务实体经济的根本宗旨，加大宏观调控力度，强化逆周期和跨周期调节，巩固和增强经济回升向好态势，持续推动经济高质量发展。,348.0
22,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,图为中国人民银行行长潘功胜。（徐想摄）2024年我们将重点抓好以下工作：一是坚持稳健的货币政策，落实好灵活适度、精准有效的要求，继续为实体经济稳定增长营造良好的货币金融环境。过去的一年，我们适时强化逆周期调节，两次下调存款准备金率，两次下调政策利率，引导有序降低存量房贷利率，引导金融机构保持信贷总量适度、节奏平稳，取得了较好的成效。2024年，总量方面，将综合运用多种货币政策工具，保持流动性合理充裕，使社会融资规模、货币供应量同经济增长和价格水平预期目标相匹配。在节奏上把握好新增信贷的均衡投放，增强信贷增长的稳定性。结构方面，将不断优化信贷结构，加大对民营企业、小微企业的金融支持，落实好我们不久前发布的金融支持民营经济25条举措，提升金融服务实体经济质效。同时，要注重盘活被低效占用的金融资源，提高存量资金使用效率。价格方面，兼顾内外均衡，促进综合融资成本稳中有降，保持人民币汇率在合理均衡水平上的基本稳定。,408.0
23,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,二是加大对重大战略、重点领域和薄弱环节的金融支持力度，做好金融“五篇大文章”。2023年，我们进一步提升货币政策对促进经济结构调整、转型升级、新旧动能转换的效能，引导金融机构加大对重点领域、薄弱环节的信贷支持力度，普惠小微、科技型中小企业、制造业中长期、绿色贷款增速均明显高于各项贷款平均增速。下一步，我们将继续发挥货币政策工具总量和结构双重功能，加强工具创新，继续引导金融机构做好科技金融、绿色金融、普惠金融、养老金融、数字金融“五篇大文章”。经中央批准，人民银行将设立信贷市场司，重点做好五篇大文章相关工作。,256.0
24,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,三是稳妥有效防范化解重点领域金融风险。防控金融风险是金融工作的永恒主题。当前，我国金融风险总体可控，金融机构经营整体稳健，金融市场平稳运行。下一步，我们将加强金融风险监测、预警和评估能力建设，推动建立权责对等、激励约束相容的金融风险处置责任机制。按照市场化、法治化原则，配合地方政府和有关部门稳妥有效化解重点领域和重点机构的风险。健全完善金融安全网，继续推动金融稳定立法。,186.0
25,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,四是持续深化金融改革开放。一方面，深入推进金融改革。着力建设规范、透明、开放、有活力、有韧性的金融市场，进一步优化融资结构、市场体系、产品体系，为实体经济发展提供更高质量、更有效率的融资服务。进一步推进征信市场和支付市场发展。近期，人民银行正会同浙江省政府指导钱塘征信申请办理个人征信牌照。另一方面，坚定不移推动金融业高水平开放。深化金融领域制度型开放，拓展境内外金融市场互联互通。稳慎扎实推进人民币国际化。继续支持香港和上海提升国际金融中心地位。,224.0
26,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,五是积极参与国际金融治理，深化国际金融合作。践行多边主义，加强对话沟通，依托二十国集团、国际货币基金组织、国际清算银行等平台，推进全球宏观经济金融政策协调。落实中美两国元首旧金山会晤共识，牵头做好中美以及中欧金融工作组工作。今年是新中国成立75周年。我们坚信，在以习近平同志为核心的党中央坚强领导下，我们一定能够走好中国特色金融发展之路，为以中国式现代化全面推进强国建设贡献金融力量！我先简要介绍这些。下面，我和我的同事愿意回答大家的提问。寿小丽：谢谢潘行长的介绍。下面进入提问环节，提问前请通报一下所在的新闻机构。CNBC记者：想问一下美联储今年不再加息的话，是否会增加中国人民银行货币政策调控的空间？谢谢。,305.0
27,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,潘功胜：谢谢你的提问。我每天早上上班的时候就看CNBC，一般看半小时。CNBC最近关于这个问题的讨论有很多，有很多专家在你们电视台有这方面的讨论，我想这是一个很好的问题。现在各方面对美联储等主要央行2024年货币政策的变化都非常关注，我们也在不断地持续监测。我们知道，从2022年3月份美联储启动加息，到现在美国的政策利率已经上调了525个基点，达到了5.25%—5.5%，欧央行也连续十次加息，将主要再融资利率从0%上升到4.5%，所以目前美国也好，欧洲也好，它的利率水平都处于一个历史高位。同时我们也看到，快速加息对发达经济体的经济增长、通货膨胀、金融市场的影响正在逐步展现。市场也有很多讨论，普遍预期美联储和欧央行在2024年都有可能降息。总体看，2024年美联储货币政策方向已经出现了一个转变的苗头。,354.0
28,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,在过去的一年中，我们也看到，受市场对美国政策利率预期的影响，美元汇率出现一些波动。美元指数在2022年一度升到了114，为2002年以来最高点。在整个2023年，总体保持在100以上，最近在103左右徘徊。美元指数变化和政策利率的预期相关性是很强的，所以随着美联储结束加息，市场也普遍预期美元指数进一步大幅走强的动能减弱。,161.0
29,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,美联储货币政策转向对中国货币政策会产生什么影响？中国的货币政策始终坚持以我为主，同时兼顾内外均衡。2023年，面对发达经济体货币政策的外溢影响，人民银行立足国内经济发展，两次下调了政策利率，两次下调了存款准备金率，保持了市场流动性的合理充裕，优化信贷结构，有力支持了实体经济。同时，人民银行、外汇局以外汇市场供求为基础，通过宏观审慎管理等措施稳定市场预期。总体而言，人民币汇率在复杂的形势下保持了基本稳定。总的看，2024年发达经济体货币政策的外溢性将朝着压力减小的方向发展，中美货币政策周期差处于收敛，这样一种外部环境变化，客观上有利于增强中国货币政策操作的自主性，拓展货币政策操作的空间。中国日报记者：中央经济工作会议强调统筹高质量发展和高水平安全，深化重点领域改革，巩固外贸外资基本盘。请问，对于中国的跨境资金流动形势有何判断？在外汇便利化改革方面有何考虑？谢谢。,385.0
30,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,潘功胜：去年一年，应该说内外部环境变化对中国外汇市场是有所影响的，但整体上还是保持一个平稳状态。这个问题我请朱鹤新局长来回答。,63.0
31,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,中国人民银行副行长、国家外汇管理局局长朱鹤新：谢谢记者的提问。刚才潘功胜行长已经对你的提问作了概括和判断，因为我是作为继承者，继往开来，2023年我们克服了很多困难，从我们外汇局统计的数字看，应该说近期我国跨境资金流动还是更加平稳，体现在经常账户继续保持较高规模的净流入。2023年全年经常账户顺差将达到2800亿美元左右，其中货物贸易顺差将超过6000亿美元，这在历史上也是次高值。而且近期外资来华投资也呈现积极向好态势。大家也关注到，去年9月以来外资连续四个月净增持境内债券已经累计超过640亿美元。我们预判今年我国跨境资金流动稳定性将进一步提升，经常账户将保持合理规模顺差，而且资本项下外资流入将更加活跃。,306.0
32,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,一方面，我们的产业链是非常完整的，产业升级持续推进，生产制造能力非常强，这也为我们货物贸易带来竞争力。对外贸易产品和市场日益多元化，稳外贸以及区域合作政策效果逐步显现，新的出口增长点将不断涌现，经营主体越来越多，经营主体生产的产品竞争力也越来越强，我们合作的区域和合作的国家也会越来越多，这会增强外贸的稳定性。,155.0
33,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,另一方面，就是资本项下的外资流入将更加的活跃。刚才功胜行长回答第一位提问的时候已经说过了，就是大家预判2024年美联储货币政策的一些变化，而且刚才潘行长已经说了其外溢性的压力逐步减少，使得我们外部金融条件更加趋于缓和，国际投资将恢复活跃，外商投资有望企稳回升。同时，因为我们拥有完整的产业链、超大规模市场，所以近年来人民币资产多元化和分散化投资的价值会日渐凸显。我们对这个方面还是充满信心的。,196.0
34,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,图为中国人民银行副行长、国家外汇管理局局长朱鹤新。（徐想摄）第二个问题，刚才提到关于便利化。便利化我们总的方向还是要通过统筹高质量发展和高水平安全的基础上，还是要深化改革，还是要推进便利化的进程，其目的还是要服务实体经济，使我们的经济回升向好、长期向好的态势更加稳固。这里我们大概有五个方面，五个持续用力。,153.0
35,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,一个是积极推进跨境贸易和投融资便利化上持续发力。我们的重点主要在科技创新和中小企业上，覆盖面还是要不断提升。同时，要通过科技赋能跨境金融服务平台，给中小企业切切实实解决一些问题。同时支持跨境电商、海外仓等贸易新业态发展，而且也要通过我们的便利化，让我们的科创企业跨境融资方面能得到便利。要在中小企业、科创类企业起步当中更好体现我们外汇政策给它的支持。同时，大家可能关注汇率的变化，企业如果在汇率问题上处置不当，本来是盈利的，一看还是亏损的，所以我们在完善企业汇率风险管理服务方面还应该体现我们的主动作为。2023年12月，我们打包出台了九项跨境贸易和投融资一揽子的举措，助力外贸外资。核心的问题是我们的政策都有，怎么使政策真正落地，怎么把政策不断地评估完善，使企业真正能感觉到便利，真正能惠企利民，这是非常重要的。这是一个方面。,364.0
36,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,二是在稳步推进高水平制度型开放上持续用力。稳步扩大跨境贸易投资高水平开放的试点，完善跨国公司本外币一体化资金池业务试点，我们很多企业有这方面的需求，所以在这方面我们怎么在试点的基础上更加推广。统一境外投资者境内证券期货投资资金管理规则，支持区域开放创新，促进境内外金融市场互联互通，吸引更多外资金融机构和长期资本来华展业兴业。,163.0
37,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,三是在稳慎扎实推进人民币国际化上持续用力。因为人民币国际化是方向、是趋势。去年应该说货物贸易人民币跨境收付占比上升比较快，已经占到25%了，是近年来的最高水平，下一步还要聚焦贸易投资便利化，加强本外币协同，进一步完善跨境人民币相关政策和基础设施，更好满足境外投资者配置、持有人民币资产和风险对冲的需要。同时要积极支持离岸人民币市场稳步发展，特别是要强化香港离岸人民币市场的枢纽动能。,191.0
38,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,四是完善外汇市场“宏观审慎+微观监管”两位一体的管理上还是要持续用力。一方面，完善跨境资金流动监测预警响应机制，加强市场沟通和预期引导，保持人民币汇率基本稳定。另一方面，强化外汇领域监管的全覆盖，加强跨境人民币监管，及时发现处置异常的情况，严厉打击违法违规的活动。同时大家可能关注到近期我们出台的一个银行外汇展业管理办法，这个办法深受银行的欢迎，我们现在正在试点。这里有一个核心的问题，就是关于尽职免责的问题，这是各家银行都非常关注的，我们在这个办法中已经得到了体现。如果试点顺畅，我们希望有更多的银行加入到我们体系当中来，其目的还是更好地推进便利化，来更好地为企业等经营主体服务。最后一个方面大家关注的就是在完善中国特色外汇储备经营管理上还要持续用力，要全力保障外汇储备资产的安全流动和保值增值。路透社记者：我们看，去年中国经济保持了低通胀态势，个别月份也出现了CPI和PPI同时下降的情况，所以也引发市场对通缩压力的担心。想问一下，央行今年怎么看物价的走势？用什么样的政策举措来应对可能出现的通缩风险？谢谢。,456.0
39,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,潘功胜：谢谢您的问题。物价水平是大家普遍关心的问题，我想在此分享一些看法。,37.0
40,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,最近媒体记者、学者讨论这个问题是非常多的，我们在讨论这个问题的时候，需要从一个更加宽广的视角、稍长的时间跨度来分析和看待这个问题。我们需要从过去几年全球主要经济体和中国价格水平变化轨迹和它背后的逻辑看。我记得，在几年之前疫情发生的时候，为了有效应对疫情危机，全球主要经济体普遍实施了宽松的财政和货币政策。疫情对全球供应链造成重大冲击，再叠加俄乌冲突等地缘政治的影响，主要经济体通胀普遍快速上升，美国的通胀（CPI）最高点在2022年6月份达到9.1%。欧元区通胀最高点在2022年10月达到10.6%。对于中国来说，在疫情期间，坚持实施正常的货币政策，我们没有大收，也没有大放。产业链和供给能力健全，仍然保持了平稳的运转。在当时全球高通胀背景下，我国的物价运行总体平稳，没有通胀和通缩的问题。2021年、2022年中国的CPI涨幅分别是0.9%和2%。,376.0
